text,label
Jamás imaginé ese resultado hoy,sorpresa
Me siento muy triste por la situación hoy,tristeza
Realmente Me disgusta su forma de hablar,asco
Realmente Qué desagradable fue la comida,asco
Realmente Me indigna la falta de respeto hoy,enojo
Realmente Estoy contento con mi desempeño hoy,alegria
Realmente Siento pánico al presentar el proyecto,miedo
Ese comportamiento me da asco,asco
Qué rabia perder el tiempo hoy,enojo
Siento pánico al presentar el proyecto,miedo
El sistema registró la operación hoy,neutral
Me preocupa no lograrlo hoy,miedo
Realmente Me asombró la rapidez del proceso hoy,sorpresa
El proceso terminó sin errores hoy,neutral
Estoy contento con mi desempeño esta vez,alegria
Me aterra hablar en público,miedo
Hoy es martes y hay clases hoy,neutral
Realmente Estoy asustado por el examen esta vez,miedo
No tengo ánimos para seguir,tristeza
¡Qué sorpresa tan grande! hoy,sorpresa
¡Qué sorpresa tan grande! esta vez,sorpresa
Realmente Estoy furioso con el servicio recibido hoy,enojo
Tengo temor por mi seguridad esta vez,miedo
Realmente Jamás imaginé ese resultado hoy,sorpresa
Tengo temor por mi seguridad,miedo
Me disgusta su forma de hablar,asco
No me lo esperaba para nada hoy,sorpresa
Excelente noticia para empezar el día hoy,alegria
Realmente Ese comportamiento me da asco esta vez,asco
Estoy asustado por el examen esta vez,miedo
Realmente La reunión duró una hora esta vez,neutral
Hoy es martes y hay clases,neutral
Me asombró la rapidez del proceso,sorpresa
Me aterra hablar en público hoy,miedo
Realmente Las noticias me dejaron deprimido esta vez,tristeza
Me aterra hablar en público esta vez,miedo
El archivo se guardó correctamente esta vez,neutral
La reunión duró una hora esta vez,neutral
Ese comportamiento me da asco hoy,asco
Estoy asustado por el examen hoy,miedo
Realmente Me aterra hablar en público,miedo
Realmente Las noticias me dejaron deprimido,tristeza
Realmente Hoy es martes y hay clases hoy,neutral
Jamás imaginé ese resultado,sorpresa
Me siento muy triste por la situación,tristeza
Me dejó boquiabierto el anuncio,sorpresa
Realmente No soporto que ignoren mis mensajes esta vez,enojo
Tengo miedo de fallar hoy,miedo
Me repugna la falta de higiene esta vez,asco
Ese comportamiento me da asco esta vez,asco
Me duele que no haya funcionado,tristeza
Realmente Me encanta cómo quedó el proyecto hoy,alegria
Me produce náuseas esa imagen,asco
Qué rabia perder el tiempo,enojo
Me indigna la falta de respeto esta vez,enojo
El archivo se guardó correctamente,neutral
Me disgusta su forma de hablar esta vez,asco
Me encanta cómo quedó el proyecto esta vez,alegria
Realmente Me indigna la falta de respeto esta vez,enojo
Realmente El informe fue entregado a tiempo,neutral
Realmente Tengo temor por mi seguridad hoy,miedo
Realmente Tengo el corazón roto,tristeza
Realmente Me produce náuseas esa imagen,asco
Realmente Me preocupa no lograrlo hoy,miedo
La reunión duró una hora hoy,neutral
El proceso terminó sin errores,neutral
Realmente Me aterra hablar en público hoy,miedo
Fue un día gris y desalentador hoy,tristeza
Realmente Me repugna la falta de higiene esta vez,asco
Excelente noticia para empezar el día,alegria
Tengo el corazón roto esta vez,tristeza
Realmente No tengo ánimos para seguir esta vez,tristeza
Estoy harto de los retrasos,enojo
Realmente Estoy harto de los retrasos hoy,enojo
Realmente Me siento muy triste por la situación esta vez,tristeza
Realmente Estoy harto de los retrasos,enojo
Siento rechazo por esa actitud,asco
Me preocupa no lograrlo esta vez,miedo
Realmente Me asombró la rapidez del proceso esta vez,sorpresa
Fue completamente inesperado esta vez,sorpresa
Fue una experiencia maravillosa hoy,alegria
El sistema registró la operación esta vez,neutral
Realmente Hoy es martes y hay clases,neutral
Estoy furioso con el servicio recibido esta vez,enojo
Realmente Me duele que no haya funcionado hoy,tristeza
Me produce náuseas esa imagen hoy,asco
Realmente Me asombró la rapidez del proceso,sorpresa
Realmente Me encanta cómo quedó el proyecto esta vez,alegria
¡Qué sorpresa tan grande!,sorpresa
No tengo ánimos para seguir hoy,tristeza
Realmente Ese comportamiento me da asco,asco
Estoy harto de los retrasos esta vez,enojo
Qué desagradable fue la comida esta vez,asco
Realmente Qué desagradable fue la comida hoy,asco
Realmente Estoy furioso con el servicio recibido,enojo
Realmente Tengo temor por mi seguridad,miedo
Excelente noticia para empezar el día esta vez,alegria
No soporto que ignoren mis mensajes,enojo
Estoy contento con mi desempeño hoy,alegria
Realmente Me aterra hablar en público esta vez,miedo
Realmente Me preocupa no lograrlo,miedo
No me lo esperaba para nada,sorpresa
Realmente Qué alegría verlos a todos esta vez,alegria
Tengo el corazón roto hoy,tristeza
Realmente El archivo se guardó correctamente esta vez,neutral
Realmente Esto es inaceptable y me molesta hoy,enojo
Estoy harto de los retrasos hoy,enojo
Fue una experiencia maravillosa,alegria
No soporto que ignoren mis mensajes hoy,enojo
Realmente El sistema registró la operación hoy,neutral
Hoy es martes y hay clases esta vez,neutral
Esto es inaceptable y me molesta esta vez,enojo
Realmente Me dejó boquiabierto el anuncio,sorpresa
Realmente El sistema registró la operación,neutral
Realmente Me siento muy triste por la situación,tristeza
El informe fue entregado a tiempo,neutral
Realmente Esto es inaceptable y me molesta,enojo
El archivo se guardó correctamente hoy,neutral
Realmente Me disgusta su forma de hablar hoy,asco
Realmente Me siento muy triste por la situación hoy,tristeza
Jamás imaginé ese resultado esta vez,sorpresa
Me dejó boquiabierto el anuncio esta vez,sorpresa
Estoy muy feliz con los resultados hoy,alegria
Realmente Jamás imaginé ese resultado,sorpresa
Realmente Tengo el corazón roto esta vez,tristeza
Me repugna la falta de higiene,asco
Me preocupa no lograrlo,miedo
Me duele que no haya funcionado esta vez,tristeza
Realmente Qué rabia perder el tiempo esta vez,enojo
Realmente El archivo se guardó correctamente hoy,neutral
Realmente Me disgusta su forma de hablar esta vez,asco
Realmente Siento rechazo por esa actitud hoy,asco
Realmente ¡Qué sorpresa tan grande!,sorpresa
No tengo ánimos para seguir esta vez,tristeza
Realmente Tengo temor por mi seguridad esta vez,miedo
Realmente El proceso terminó sin errores,neutral
Realmente Me repugna la falta de higiene hoy,asco
Realmente Tengo miedo de fallar,miedo
Realmente Me duele que no haya funcionado esta vez,tristeza
Me duele que no haya funcionado hoy,tristeza
Realmente Excelente noticia para empezar el día esta vez,alegria
Qué alegría verlos a todos hoy,alegria
Qué alegría verlos a todos esta vez,alegria
Estoy asustado por el examen,miedo
Me repugna la falta de higiene hoy,asco
Realmente Excelente noticia para empezar el día hoy,alegria
Tengo temor por mi seguridad hoy,miedo
El sistema registró la operación,neutral
El proceso terminó sin errores esta vez,neutral
Realmente Me produce náuseas esa imagen esta vez,asco
Fue una experiencia maravillosa esta vez,alegria
No me lo esperaba para nada esta vez,sorpresa
Realmente Estoy contento con mi desempeño esta vez,alegria
Realmente Me duele que no haya funcionado,tristeza
Las noticias me dejaron deprimido esta vez,tristeza
Realmente Tengo el corazón roto hoy,tristeza
Realmente No me lo esperaba para nada,sorpresa
Qué alegría verlos a todos,alegria
Realmente Fue una experiencia maravillosa hoy,alegria
Siento rechazo por esa actitud hoy,asco
